Benchmarking CTC - Safra 2025 - Varias Safras - ATR kg/tc ;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Estados;;;;;;;;;;;
ES;118,66;118,89;108,96;106,42;108,57;112,38;121,18;121,12;114,09;129,08;97,71
GO;130,84;133,87;134,05;132,93;133,07;137,59;134,7;137,25;135,55;135,36;133,73
MG;131,29;135,13;138,12;134,29;134,05;139,24;137,26;139,34;137,96;138,84;135,18
MS;125,54;123,98;122,7;125,54;127,96;132,29;131,56;131,9;134,23;132,7;129,86
MT;132,15;135,33;144,85;139,95;139,96;146,28;140,2;139,22;135,25;136,44;129
PR;133,85;134,28;137,37;135,05;134;135,15;130,51;128,28;130,32;132,07;129,72
SP;129,35;130,31;133,92;134,68;135,22;141,66;139,66;137,55;134,7;136,78;137,1
ARACATUBA;128,04;129,8;130,91;134,63;134,89;142,97;138,5;135,93;133,35;133,58;135,54
ASSIS;127,98;126,92;130,5;131,54;137,03;138,3;137,33;136,73;136,85;137,53;136,5
PIRACICABA;128,16;127,41;130,14;133,37;133,22;139,13;140,45;138,82;132,71;138,78;140,31
RIB. PRETO;130,33;132,61;136,18;135,66;133,93;141,77;139,52;137,57;135,17;139,05;136,45
S. J. RIO PRETO;131,1;131,41;136,02;136,45;137;144,02;139,8;138,84;136,81;136,5;138,6
SÃO CARLOS;128,28;130,01;135,37;133,46;134,72;140,46;142,48;137,71;132,47;137,25;136,89
;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Centro-Sul;;;;;;;;;;;
Média;129,68;130,9;133,64;133,52;134,19;139,9;137,6;136,83;134,97;136,32;135,17
Maximo;148,82;146,13;147,57;145,79;143,96;160,45;157,9;147,54;150,82;152,1;158,91
Minimo;117,91;115,83;108,96;106,42;108,57;102,67;109,32;116,38;114,09;120,51;97,71
Desvio;5,44;5,71;6,88;5,69;5,87;7,12;6,6;5,39;5,27;5,04;6,68
Usinas;171;169;166;165;165;159;158;164;174;174;172
;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Associada;;;;;;;;;;;
Maximo;134,68;133,23;137,88;139,28;143,96;149,4;146,17;144,19;145;142,04;142,14
Minimo;122,45;118,59;125,06;124,66;127;130,27;130,37;131,18;131,52;132,52;132,07
ASSIS;127,98;126,92;130,5;131,54;137,03;138,3;137,33;136,73;136,85;137,53;136,5
SP;129,35;130,31;133,92;134,68;135,22;141,66;139,66;137,55;134,7;136,78;137,1
Umoe Bioenergy;122,45;129,48;126,45;125,36;127;130,27;134,19;135,5;137,05;137,63;139,89
