Benchmarking CTC - Safra 2025 - TCH - Média geral  Unid. t/ha Varias Safras ano a ano.;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Estados;;;;;;;;;;;
ES;59,4;45,5;56,2;59,8;48,6;50,5;62;59;52,4;50,1;
GO;84,2;74,1;78,7;76,4;83,3;80,2;74,9;77,5;84;81,7;73,5
MG;81,9;78;79,4;76,5;84,3;83,2;73,8;78,8;89,7;87,4;72,3
MS;86,4;83,1;76,8;78,2;71,8;76,9;68,9;69,7;83,1;72,5;75,5
MT;81,6;72;72,5;71,6;70,4;71,4;59,6;79,8;90,2;85,7;87,1
PR;71,4;63,8;60,3;57,7;58,7;59,5;54,8;59,2;66,6;62,1;70,3
SP;84,1;78,4;76,5;73,2;76,2;78,2;66,2;73,6;90,6;77,6;74,3
ARACATUBA;84,3;76,5;72,8;68,2;69,1;72,7;60,1;70,6;93;73;72,8
ASSIS;82,8;72,8;69,3;68,3;71,3;73,7;68,6;76;85,3;73,8;78,8
PIRACICABA;84,2;81,2;71,9;73,8;73,8;76,3;66,9;69,3;88,5;91,5;81,4
RIB. PRETO;83,8;85,1;85,3;81,1;88,4;89,7;75,1;78,6;94,9;84,7;75,5
S. J. RIO PRETO;82,5;79;79;73,8;77,8;83,5;64;77,6;97;80,1;73,6
SÃO CARLOS;86,9;77;76,4;73,9;76,3;73,2;66,6;68,5;81,9;75,2;70,3
;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Centro-Sul;;;;;;;;;;;
Média;83,1;76,9;75,9;73,1;76,1;77,4;67,4;73,3;87;77,8;74
Maximo;114;111,2;101,7;107,9;125;125,4;121,1;108,6;124,6;140,5;111,3
Minimo;51,3;45,5;40,6;43,5;39;41,3;36,5;36,7;40,8;37,9;49,3
Desvio;10;11,9;11,2;11,5;13,4;12,7;13,3;12,3;13,2;13,9;10,7
Usinas;174;170;166;166;166;162;162;168;175;177;172
;;;;;;;;;;;
;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Associada;;;;;;;;;;;
Maximo;104,1;94,4;92;96,1;98,1;95,7;91,9;96,2;105,1;94,7;98,8
Minimo;69,4;54;49,4;55;51,3;52,3;41,7;45,4;73,9;61,6;64
ASSIS;82,8;72,8;69,3;68,3;71,3;73,7;68,6;76;85,3;73,8;78,8
SP;84,1;78,4;76,5;73,2;76,2;78,2;66,2;73,6;90,6;77,6;74,3
Umoe Bioenergy;75,8;66,7;64;70,8;63,1;66,3;55,3;62,9;85,8;74,8;73,8
